pilot,lap_time
Міфтахутдінов Ільяс,57.215
Закалюк Євгеній,57.618
Васильчук Назар,57.847
Якусик Дмитро,58.221
Архіпов Олександр,58.381
Лихошерст Олексій,58.574
Ревчук Олексій,58.592
Ференс Дмитро,58.617
Бурім Сергій,58.664
Хавіло Дмитро,58.724
Ревчук Олександр,58.855
Нужний Олексій,59.044
Бахмацький Олег,59.164
Маніло Денис,59.222
Чишкала Олексій,59.487
Козаков Єгор,59.713
Фортуна Тетяна,59.767
Ждан-Пушкін,Антон	59.975
Дорохін Антон,60.035
Стасюк Ярослав,60.121
Бєгішев Максим,60.237
